Date,Close,Open,High,Low,Year,Month,Day,Day_Week,Close_norm,Open_norm,High_norm,Low_norm,Range_norm
26/12//2008,4789.45,4964.35,5041,4770.2,,,,,,,,,
29/12/2008,4953.95,4774.7,4969.1,4684.8,2008,12,29,2,0.034346323690612,-0.038202382990724,-0.014263043047014,-0.017902813299233,0.049852289512555
30/12/2008,5062.2,4988.4,5112.95,4928.45,2008,12,30,3,0.021851250012616,0.044756738643266,0.02894890422813,0.05200862363388,-0.351037636299684
31/12/2008,5001.55,5094.35,5119.35,4981.25,2008,12,31,4,-0.011980956896211,0.021239275118275,0.001251723564674,0.010713307429314,-0.251490514905147
01/01/2009,5116.55,5019.2,5135.15,5019.2,2009,1,1,5,0.022992872209615,-0.014751636617037,0.003086329319152,0.007618569636135,-0.160391020999279
02/01/2009,5195.1,5154.2,5258.65,5103.6,2009,1,2,6,0.015352141579776,0.026896716608225,0.024049930381781,0.016815428753586,0.337214316515735
05/01/2009,5359.4,5273.45,5371.1,5273.45,2009,1,5,2,0.031625955227041,0.023136471227349,0.021383815237751,0.033280429500745,-0.370203160270874
06/01/2009,5395.3,5333.5,5448.8,5276.4,2009,1,6,3,0.006698511027354,0.011387232267301,0.014466310439202,0.000559406081408,0.765488991295439
07/01/2009,4984.55,5416.35,5440.55,4954,2009,1,7,4,-0.076131077048542,0.015533889565951,-0.001514094846572,-0.06110226669699,1.82221577726217
08/01/2009,4984.55,5416.35,5440.55,4954,2009,1,8,5,0,0,0,0,0
09/01/2009,4906.7,4891.8,5056.95,4840,2009,1,9,6,-0.015618260424713,-0.096845661746379,-0.070507577358907,-0.023011707710941,-0.554105436234714
12/01/2009,4698,4862,4881.5,4612.75,2009,1,12,2,-0.042533678439685,-0.006091827139294,-0.034694825932627,-0.046952479338843,0.238764692325422
13/01/2009,4661.7,4700.25,4764.15,4605.65,2009,1,13,3,-0.007726692209451,-0.03326820238585,-0.024039741882618,-0.001539211966831,-0.410232558139535
14/01/2009,4751.1,4684.3,4819.5,4682.1,2009,1,14,4,0.019177553253105,-0.003393436519334,0.011618022102579,0.016599177097695,-0.133123028391169
15/01/2009,4484.65,4598.4,4598.4,4442.7,2009,1,15,5,-0.056081749489592,-0.018337851973614,-0.04587612822907,-0.051130902800026,0.133187772925766
16/01/2009,4581.25,4528.9,4596.85,4520.9,2009,1,16,6,0.021540142486036,-0.015113952679193,-0.000337073764788,0.017601908749184,-0.512202954399481
19/01/2009,4542.25,4585.7,4622,4519.85,2009,1,19,2,-0.008512960436562,0.012541676786858,0.005471137844393,-0.000232254639563,0.344963791968383
20/01/2009,4402.35,4495,4495,4363.95,2009,1,20,3,-0.030799713798228,-0.019778877815819,-0.027477282561662,-0.034492295098289,0.282917278511998
21/01/2009,4252.3,4347.6,4365.05,4230.75,2009,1,21,4,-0.034084068736016,-0.032791991101224,-0.028909899888765,-0.030522806173306,0.024799694772987
22/01/2009,4289.8,4326.25,4339.55,4216.95,2009,1,22,5,0.008818756908026,-0.004910755359279,-0.005841857481587,-0.003261833008332,-0.08711839166046
23/01/2009,4082.15,4270.7,4338.55,4049.9,2009,1,23,6,-0.048405520070866,-0.012840219589714,-0.000230438639951,-0.039613938984337,1.35440456769983
26/01/2009,4082.15,4270.7,4338.55,4049.9,2009,1,26,2,0,0,0,0,0
27/01/2009,4199.55,4167.65,4212.35,4111.3,2009,1,27,3,0.028759354751785,-0.02412953380008,-0.029088059374676,0.015160868169585,-0.649922050926727
28/01/2009,4340.1,4220.5,4355.7,4206.35,2009,1,28,4,0.033467871557667,0.012681007282282,0.034030885372773,0.023119208036388,0.477981197427008
29/01/2009,4362.05,4345.45,4487.85,4336.95,2009,1,29,5,0.005057487154674,0.029605496979031,0.030339555065776,0.031048296028623,0.010378305992642
30/01/2009,4456.55,4289.65,4472.8,4285.2,2009,1,30,6,0.021664125812405,-0.012841017616127,-0.003353498891451,-0.011932348770449,0.243207422133861
02/02/2009,4238.15,4403.9,4405.35,4223.75,2009,2,2,2,-0.049006518495249,0.026633874558531,-0.015080039348954,-0.01434005413983,-0.031982942430704
03/02/2009,4253.8,4266.05,4332.75,4191.1,2009,2,3,3,0.003692648915211,-0.031301800676673,-0.016479961864551,-0.00773009766203,-0.219988986784145
04/02/2009,4251.2,4296.3,4352.05,4238.6,2009,2,4,4,-0.000611218204899,0.007090868602103,0.00445444579078,0.011333540120732,-0.199082244969996
05/02/2009,4235.35,4278.5,4284.65,4202.4,2009,2,5,5,-0.003728359051562,-0.004143099876638,-0.015486954423778,-0.008540555843911,-0.275011018069633
06/02/2009,4334.15,4275.65,4350.2,4275.65,2009,2,6,6,0.023327469984771,-0.000666121304195,0.015298799201802,0.017430515895679,-0.093617021276594
09/02/2009,4459.5,4365.55,4469.65,4365.55,2009,2,9,2,0.028921472491723,0.021026042823898,0.027458507654821,0.021026042823898,0.396378269617695
10/02/2009,4515.8,4475.15,4596.6,4455.5,2009,2,10,3,0.012624733714542,0.025105656790095,0.028402671350106,0.020604505732382,0.355427473583104
11/02/2009,4504.3,4425.3,4522.8,4403.3,2009,2,11,4,-0.002546614110457,-0.011139291420399,-0.016055345255189,-0.011715856806195,-0.153082919914956
