year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2008,12,29,2,0.034346324,-0.038202383,-0.014263043,-0.017902813,0.04985229
2008,12,30,3,0.02185125,0.044756739,0.028948904,0.052008624,-0.351037636
2008,12,31,4,-0.011980957,0.021239275,0.001251724,0.010713307,-0.251490515
2009,1,1,5,0.022992872,-0.014751637,0.003086329,0.00761857,-0.160391021
2009,1,2,6,0.015352142,0.026896717,0.02404993,0.016815429,0.337214317
2009,1,5,2,0.031625955,0.023136471,0.021383815,0.03328043,-0.37020316
2009,1,6,3,0.006698511,0.011387232,0.01446631,0.000559406,0.765488991
2009,1,7,4,-0.076131077,0.01553389,-0.001514095,-0.061102267,1.822215777
2009,1,8,5,0,0,0,0,0
2009,1,9,6,-0.01561826,-0.096845662,-0.070507577,-0.023011708,-0.554105436
2009,1,12,2,-0.042533678,-0.006091827,-0.034694826,-0.046952479,0.238764692
2009,1,13,3,-0.007726692,-0.033268202,-0.024039742,-0.001539212,-0.410232558
2009,1,14,4,0.019177553,-0.003393437,0.011618022,0.016599177,-0.133123028
2009,1,15,5,-0.056081749,-0.018337852,-0.045876128,-0.051130903,0.133187773
2009,1,16,6,0.021540142,-0.015113953,-0.000337074,0.017601909,-0.512202954
2009,1,19,2,-0.00851296,0.012541677,0.005471138,-0.000232255,0.344963792
2009,1,20,3,-0.030799714,-0.019778878,-0.027477283,-0.034492295,0.282917279
2009,1,21,4,-0.034084069,-0.032791991,-0.0289099,-0.030522806,0.024799695
2009,1,22,5,0.008818757,-0.004910755,-0.005841857,-0.003261833,-0.087118392
2009,1,23,6,-0.04840552,-0.01284022,-0.000230439,-0.039613939,1.354404568
2009,1,26,2,0,0,0,0,0
2009,1,27,3,0.028759355,-0.024129534,-0.029088059,0.015160868,-0.649922051
2009,1,28,4,0.033467872,0.012681007,0.034030885,0.023119208,0.477981197
2009,1,29,5,0.005057487,0.029605497,0.030339555,0.031048296,0.010378306
2009,1,30,6,0.021664126,-0.012841018,-0.003353499,-0.011932349,0.243207422
2009,2,2,2,-0.049006518,0.026633875,-0.015080039,-0.014340054,-0.031982942
2009,2,3,3,0.003692649,-0.031301801,-0.016479962,-0.007730098,-0.219988987
2009,2,4,4,-0.000611218,0.007090869,0.004454446,0.01133354,-0.199082245
2009,2,5,5,-0.003728359,-0.0041431,-0.015486954,-0.008540556,-0.275011018
2009,2,6,6,0.02332747,-0.000666121,0.015298799,0.017430516,-0.093617021
2009,2,9,2,0.028921472,0.021026043,0.027458508,0.021026043,0.39637827
2009,2,10,3,0.012624734,0.025105657,0.028402671,0.020604506,0.355427474
